tx_id,acc_id,date,amount,type,from_acc
408081,120043,2008-01-01 00:00:14,196.21000671386719,W,182033
408082,19925,2008-01-01 00:00:35,290.45999145507812,W,186551
408083,83080,2008-01-01 00:00:37,493.58999633789062,W,94226
408084,81005,2008-01-01 00:00:53,652.46002197265625,W,194017
408085,111317,2008-01-01 00:01:06,650.5999755859375,W,35811
408086,115852,2008-01-01 00:03:09,442.39999389648437,W,26681
408087,2823,2008-01-01 00:03:54,613.46002197265625,W,112943
408088,28083,2008-01-01 00:04:19,378.19000244140625,W,122956
408089,15793,2008-01-01 00:05:29,741.1500244140625,W,142102
408090,93202,2008-01-01 00:06:03,972.260009765625,W,70933
408091,129657,2008-01-01 00:06:10,275.82998657226562,W,81293
408092,2940,2008-01-01 00:06:31,433.98001098632812,W,25247
408093,32456,2008-01-01 00:06:34,692.6400146484375,W,118361
408094,111699,2008-01-01 00:06:49,971.030029296875,W,103464
408095,29394,2008-01-01 00:07:01,775.1400146484375,W,82297
408096,114884,2008-01-01 00:07:05,958.739990234375,W,38808
408097,17464,2008-01-01 00:07:07,770.739990234375,W,195206
408098,100910,2008-01-01 00:07:08,579.25,W,132915
408099,100642,2008-01-01 00:07:14,259.54000854492187,W,145994
408100,3947,2008-01-01 00:07:18,665.489990234375,W,51565
408101,12652,2008-01-01 00:07:23,658.510009765625,W,165543
408102,88620,2008-01-01 00:07:27,904.1099853515625,W,121201
408103,99276,2008-01-01 00:07:48,531.27001953125,W,18693
408104,70884,2008-01-01 00:08:45,567.45001220703125,W,29422
408105,8616,2008-01-01 00:09:00,371.95999145507812,W,95684
408106,94459,2008-01-01 00:09:38,613.45001220703125,W,1369
408107,111246,2008-01-01 00:10:32,166,W,33161
408108,62866,2008-01-01 00:10:43,225.35000610351562,W,164367
408109,96232,2008-01-01 00:10:44,457.69000244140625,W,35951
408110,80933,2008-01-01 00:11:02,505.3599853515625,W,84362
408111,124819,2008-01-01 00:11:07,496.04998779296875,W,64948
408112,125872,2008-01-01 00:11:43,698.8800048828125,W,20204
408113,55794,2008-01-01 00:12:13,997.82000732421875,W,151139
408114,75655,2008-01-01 00:12:46,509.30999755859375,W,58485
408115,83807,2008-01-01 00:13:24,936.05999755859375,W,143877
408116,21910,2008-01-01 00:13:29,3700.719970703125,W,1548
408117,40639,2008-01-01 00:13:34,292.8599853515625,W,69784
408118,10122,2008-01-01 00:13:47,640.72998046875,W,25359
408119,18675,2008-01-01 00:14:18,951.46002197265625,W,162799
408120,65988,2008-01-01 00:14:37,413.82998657226562,W,140859
408121,18862,2008-01-01 00:15:36,817.1199951171875,W,81923
408122,25812,2008-01-01 00:15:54,604.47998046875,W,64866
408123,59612,2008-01-01 00:16:01,652.739990234375,W,20077
408124,70441,2008-01-01 00:16:05,373.010009765625,W,117510
408125,116225,2008-01-01 00:16:24,425.92001342773437,W,47810
408126,86313,2008-01-01 00:16:24,710.34002685546875,W,188729
408127,84143,2008-01-01 00:16:25,816.16998291015625,W,182921
408128,17223,2008-01-01 00:16:27,294.89999389648437,W,138674
408129,27428,2008-01-01 00:18:07,438.10000610351562,W,18561
408130,75798,2008-01-01 00:18:18,561.22998046875,W,176817
408131,28547,2008-01-01 00:18:52,729.3599853515625,W,13843
408132,133006,2008-01-01 00:19:23,161.39999389648437,W,114136
408133,91144,2008-01-01 00:19:44,419.92999267578125,W,157878
408134,129378,2008-01-01 00:20:14,347.260009765625,W,178430
408135,129965,2008-01-01 00:20:21,567.59002685546875,W,145246
408136,38871,2008-01-01 00:20:25,526.44000244140625,W,198880
408137,27486,2008-01-01 00:20:35,734.77001953125,W,197112
408138,3112,2008-01-01 00:20:46,270.70001220703125,W,138160
408139,54232,2008-01-01 00:21:07,456.92001342773437,W,138299
408140,87389,2008-01-01 00:21:13,891.239990234375,W,196650
408141,48060,2008-01-01 00:21:42,871.6400146484375,W,62861
408142,18136,2008-01-01 00:21:56,490.510009765625,W,136959
408143,77606,2008-01-01 00:22:25,501.77999877929687,W,142139
